Kundenummer,Leverandørnummer,Navn,Organisasjonsnummer,Telefonnummer,Telefonnr. mobil,Faksnummer,E-postadresse,Postadresse Linje,Postadresse Linje,Postadresse Postnr.,Postadresse Sted,Postadresse Land,Forretningsadresse Linje,Forretningsadresse Linje,Forretningsadresse Postnr.,Forretningsadresse Sted,Forretningsadresse Land,Kategori 1 Nummer,Kategori 1 Navn,Kategori 2 Nummer,Kategori 2 Navn,Kategori 3 Nummer,Kategori 3 Navn
,20137,Shenzhen Prolech Electronics Limited,,+86-0755-29952693,,,hans@prolech.net,"building 2, floor 2, ba fang yuan industrial,","gui shan Road Number 9, Xixiang Town, Baoan District",,Shenzhen,Kina,,,,,,,,,,,
,20162,"Standtop Technology Group Co.,Limited",,,,,sales@standtop.com,,,,,Kina,,,,,,,,,,,
,20163,AOTOP Electronic Industrial CO.Limited,,,,,amy@aotop.com,,,,,Kina,,,,,,,,,,,
,20164,SHENZHEN LUVIEW CO. LIMITED,,,,,sales16@luview.com,,,,,Kina,,,,,,,,,,,
,20175,"Shenzhen StarShine Industrial Co., Ltd",,,,,oliver@stars-shine.com,,,,,Kina,,,,,,,,,,,
,20178,"AIM Magnet Co.,Ltd",,,,,sunny@magnet168.com,,,,,Kina,,,,,,,,,,,
,20179,"BRvision Technlology Co.,Ltd",,,,,sales10@brvision.com,,,,,Kina,,,,,,,,,,,
,20187,"FORSAFE CO., LTD",,,,,cecci@51forsafe.com,,,,,Kina,,,,,,,,,,,
,20190,"STONKAM Co.,LTD",,,,,zoe@stonkam.com,,,,,Kina,,,,,,,,,,,
,20227,Tough Industries Limited,,,,,rowling@toughlighting.net,,,,,Kina,,,,,,,,,,,
,20246,"SHENZHEN FULREE ELECTRONICS CO., LIMITED",,,,,fulree@foxmail.com,,,,,Kina,,,,,,,,,,,
,20261,"Zhongshan MYD Metal Products Co.,Ltd",,86-760+23896358,,,amydai@zsmyd.com,"No.6, Shabian Road, Torch High-Tech Development","Zone, Zhongshan, China",,,Kina,,,,,,,,,,,
,20277,EDGAR AUTO HARNESSES LTD,,0769-81698001,,,info@edgarcn.com,"No.288, JinYu Group Dani Villiage,","Sha Tian Town, DongGuan GuangDong",,,Kina,,,,,,,,,,,
,20325,"Ningbo Nova Technology CO.,LTD",,,,,md@novavehicle.com,,,,,Kina,,,,,,,,,,,
,20340,"Shenzhen Suntex Development Technology Co., Ltd.",,,,,sales4@szsuntex.com,,,,,Kina,,,,,,,,,,,
,20342,"Bayse Technology Co.,Ltd",,,,,justin@hussun.com,,,,,Kina,,,,,,,,,,,
,20407,GD JG Electronic Ltd,,,,,sales1@driving-light.cn,,,,,Kina,,,,,,,,,,,
,20347,"SHENZHEN WELL-DONE INDUSTRIAL CO.,LTD.",,,,,sales12@well-done.net.cn,,,,,Kina,,,,,,,,,,,
,20404,LINTECH ENTERPRISES LIMITED,,,,,peter@kysail.com,,,,Dongguan,Kina,,,,,,,,,,,
